
[00:00:00.000 --> 00:00:29.980]   The End of the Day
[00:12:47.940 --> 00:12:49.940]   Thank you.
[00:12:49.940 --> 00:12:51.940]   Thank you.
[00:12:51.940 --> 00:12:53.940]   Thank you.
[00:12:53.940 --> 00:12:53.940]   Thank you.
[00:12:53.940 --> 00:12:55.940]   Thank you.
[00:12:55.940 --> 00:12:57.940]   Thank you.
[00:12:57.940 --> 00:12:59.940]   Thank you.
[00:12:59.940 --> 00:13:01.940]   Thank you.
[00:13:01.940 --> 00:13:03.940]   Thank you.
[00:13:03.940 --> 00:13:05.940]   Thank you.
[00:13:05.940 --> 00:13:07.940]   Thank you.
[00:13:07.940 --> 00:13:09.940]   Thank you.
[00:13:09.940 --> 00:13:11.940]   Thank you.
[00:13:11.940 --> 00:13:13.940]   Thank you.
[00:13:13.940 --> 00:13:15.940]   Thank you.
[00:13:15.940 --> 00:13:17.940]   Thank you.
[00:13:17.940 --> 00:13:19.940]   Thank you.
[00:13:19.940 --> 00:13:21.940]   Thank you.
[00:13:21.940 --> 00:13:23.940]   Thank you.
[00:13:23.940 --> 00:13:25.940]   Thank you.
[00:13:25.940 --> 00:13:25.940]   Thank you.
[00:13:25.940 --> 00:13:27.940]   Thank you.
[00:13:27.940 --> 00:13:29.940]   Thank you.
[00:13:29.940 --> 00:13:29.940]   Thank you.
[00:13:29.940 --> 00:13:29.940]   Thank you.
[00:13:29.940 --> 00:13:31.940]   Thank you.
[00:13:31.940 --> 00:13:31.940]   Thank you.
[00:13:31.940 --> 00:13:33.940]   Thank you.
[00:13:33.940 --> 00:13:35.940]   Thank you.
[00:13:35.940 --> 00:13:37.940]   Thank you.
[00:13:37.940 --> 00:13:39.940]   Thank you.
[00:13:39.940 --> 00:13:41.940]   Thank you.
[00:13:41.940 --> 00:13:41.940]   Thank you.
[00:13:41.940 --> 00:13:43.940]   Thank you.
[00:13:43.940 --> 00:13:45.940]   Thank you.
[00:13:45.940 --> 00:13:47.940]   Thank you.
[00:13:47.940 --> 00:13:47.940]   Thank you.
[00:13:47.940 --> 00:13:49.940]   Thank you.
[00:13:49.940 --> 00:13:51.940]   Thank you.
[00:13:51.940 --> 00:13:53.940]   Thank you.
[00:13:53.940 --> 00:13:55.940]   Thank you.
[00:13:55.940 --> 00:13:57.940]   Thank you.
[00:13:57.940 --> 00:13:59.940]   Thank you.
[00:13:59.940 --> 00:14:01.940]   Thank you.
[00:14:01.940 --> 00:14:03.940]   Thank you.
[00:14:31.920 --> 00:15:01.900]   Thank you.
[00:15:01.900 --> 00:15:31.880]   Thank you.
[00:15:31.880 --> 00:16:01.860]   Thank you.
[00:16:01.860 --> 00:16:03.860]   Thank you.
[00:16:03.860 --> 00:16:05.860]   Thank you.
[00:16:05.860 --> 00:16:05.860]   Thank you.
[00:16:05.860 --> 00:16:05.860]   Thank you.
[00:16:05.860 --> 00:16:07.860]   Thank you.
[00:16:07.860 --> 00:16:09.860]   Thank you.
[00:16:09.860 --> 00:16:11.860]   Thank you.
[00:16:11.860 --> 00:16:13.860]   Thank you.
[00:16:13.860 --> 00:16:15.860]   Thank you.
[00:16:15.860 --> 00:16:17.860]   Thank you.
[00:16:17.860 --> 00:16:19.860]   Thank you.
[00:16:19.860 --> 00:16:21.860]   Thank you.
[00:16:21.860 --> 00:16:23.860]   Lord.
[00:16:23.860 --> 00:16:25.860]   Thank you.
[00:16:25.860 --> 00:16:25.860]   Thank you.
[00:16:25.860 --> 00:16:25.860]   Thank you.
[00:16:25.860 --> 00:16:29.300]   is your name.
[00:16:29.300 --> 00:16:33.720]   Holy, holy,
[00:16:33.720 --> 00:16:37.300]   not beside you,
[00:16:37.300 --> 00:16:43.260]   greatly to be praised.
[00:16:43.260 --> 00:17:13.240]   Thank you.
[00:17:13.240 --> 00:17:21.880]   I saw every truth to the Lord's hand.
[00:17:21.880 --> 00:17:28.240]   Now your tears bow down again.
[00:17:28.240 --> 00:17:35.040]   God gave His Son to win.
[00:17:35.040 --> 00:17:41.240]   His angel, He ran inside.
[00:17:41.240 --> 00:17:43.240]   He ran inside.
[00:17:43.240 --> 00:17:45.240]   He ran inside.
[00:17:45.240 --> 00:17:47.240]   He ran inside.
[00:17:47.240 --> 00:17:49.240]   He ran inside.
[00:17:49.240 --> 00:17:57.240]   He ran inside.
[00:17:57.240 --> 00:18:05.240]   He ran inside.
[00:18:05.240 --> 00:18:11.240]   He ran inside.
[00:18:11.240 --> 00:18:13.240]   He ran inside.
[00:18:13.240 --> 00:18:17.240]   He ran inside.
[00:18:17.240 --> 00:18:19.240]   He ran inside.
[00:18:19.240 --> 00:18:21.240]   He ran inside.
[00:18:21.240 --> 00:18:21.240]   He ran inside.
[00:18:21.240 --> 00:18:31.240]   He ran inside.
[00:18:31.240 --> 00:18:31.240]   He ran inside.
[00:18:31.240 --> 00:18:31.240]   He ran inside.
[00:18:31.240 --> 00:18:41.240]   He ran inside.
[00:18:41.240 --> 00:18:41.240]   He ran inside.
[00:18:41.240 --> 00:18:41.240]   He ran inside.
[00:18:41.240 --> 00:18:51.240]   He ran inside.
[00:18:51.240 --> 00:18:51.240]   He ran inside.
[00:18:51.240 --> 00:19:01.240]   He ran inside.
[00:19:01.240 --> 00:19:01.240]   He ran inside.
[00:19:01.240 --> 00:19:01.240]   He ran inside.
[00:19:01.240 --> 00:19:11.240]   He ran inside.
[00:19:11.240 --> 00:19:11.240]   He ran inside.
[00:19:11.240 --> 00:19:11.240]   He ran inside.
[00:19:11.240 --> 00:19:21.240]   He ran inside.
[00:19:21.240 --> 00:19:21.240]   He ran inside.
[00:19:21.240 --> 00:19:21.240]   He ran inside.
[00:19:21.240 --> 00:19:21.240]   He ran inside.
[00:19:21.240 --> 00:19:31.240]   He ran inside.
[00:19:31.240 --> 00:19:33.240]   He ran inside.
[00:19:33.240 --> 00:19:33.240]   He ran inside.
[00:19:33.240 --> 00:19:34.240]   He ran inside.
[00:19:34.240 --> 00:19:35.240]   He ran inside.
[00:19:35.240 --> 00:19:37.240]   He ran inside.
[00:19:37.240 --> 00:19:53.520]   A parchment paper for every song on earth, the world, and every day, a scribe of a dream.
[00:19:53.520 --> 00:20:23.500]   A parchment paper for every song on earth, the earth, and every day, a scribe of a poem, and every day, a scribe of a dream.
[00:20:23.500 --> 00:20:53.480]   A parchment paper for every song on earth, the earth, and every day, a scribe of a poem, and every day, a scribe of a dream.
[00:20:53.480 --> 00:21:23.460]   A parchment paper for every song on earth, the earth, and every day, a scribe of a poem, and every day, a scribe of a poem.
[00:21:23.460 --> 00:21:53.440]   A parchment paper for every song on earth, the earth, and every day, a scribe of a poem, and every day, a scribe of a poem.
[00:21:53.440 --> 00:22:23.420]   A parchment paper for every song on earth, the earth, and every day, a scribe of a poem, and every day, a scribe of a poem.
[00:22:23.420 --> 00:22:32.180]   growing up in a Christian household and truly being saved by Christ. For years I
[00:22:32.180 --> 00:22:41.060]   believed in the existence of Christ. I believed in the events of the Bible that
[00:22:41.060 --> 00:22:49.460]   they were true, that they happened. But deep down I didn't really know Christ. I
[00:22:49.460 --> 00:23:02.740]   didn't really know his will, his law, or my path in life. My parents faithfully put me
[00:23:02.740 --> 00:23:10.940]   in Sunday school, in VBS, in Awana. They put me in so many events and in so many
[00:23:10.940 --> 00:23:16.700]   programs for me to learn about the Word of God. And for that I'm truly thankful. I
[00:23:16.700 --> 00:23:23.580]   could recall the events in the Bible and the lives of prominent figures like King
[00:23:23.580 --> 00:23:30.980]   David, but my understanding of God's character was limited despite all that.
[00:23:30.980 --> 00:23:41.700]   God wasn't personal to me, but most of all I struggled to understand Christ's sacrifice. I
[00:23:41.700 --> 00:23:49.300]   couldn't understand why an all-powerful God couldn't just say, "You're forgiven." I was
[00:23:49.300 --> 00:23:57.780]   taught about how significant the cross was, but it seemed so unnecessary to me.
[00:23:57.780 --> 00:24:06.660]   over time, through Scripture and through godly people, God opened my eyes.
[00:24:06.660 --> 00:24:15.060]   God demands absolute holiness and righteousness to be in His presence, which I did not have. It
[00:24:15.060 --> 00:24:24.180]   was impossible for me to have. No matter how good I thought I was, how much I thought I was better than others,
[00:24:24.180 --> 00:24:34.660]   it was impossible. And God has been patient with me, and He's been walking with me through every step of
[00:24:34.660 --> 00:24:45.060]   the way. And suddenly, the cross wasn't unnecessary. It was my only hope. And not just the cross, but the imputing
[00:24:45.060 --> 00:24:55.540]   of righteousness upon me so that one day I can face God on the day of judgment despite my sin, despite my
[00:24:55.540 --> 00:25:03.540]   pride, despite how far I've fallen standing before Him.
[00:25:06.180 --> 00:25:14.260]   And just how amazing is that for the Lord to let His beloved Son, the one person who deserved it the least, to be
[00:25:14.260 --> 00:25:22.020]   inflicted with wrath on His place, in my place. How can I not be in awe of God's grace and mercy?
[00:25:24.340 --> 00:25:31.620]   But it was the past year, when I was away from home for the first time, that God became real to me.
[00:25:31.620 --> 00:25:39.780]   The pride I had in my own abilities quickly crumbled as I chased worldly approvals over God's.
[00:25:39.780 --> 00:25:46.420]   And my friendships and my education paid the price.
[00:25:48.660 --> 00:25:56.820]   I gave up on people too easily. But at the same time, I put all my hope into people to satisfy me.
[00:25:56.820 --> 00:26:00.420]   Which created unrealistic standards.
[00:26:00.420 --> 00:26:09.540]   I was a hypocrite. I was hurt by others. But I also hurt others by pushing them away.
[00:26:11.380 --> 00:26:15.860]   I took the easy way out of school work. My priorities were all over the place.
[00:26:15.860 --> 00:26:24.020]   It even got to the point where my own choices almost ended my time here at UCI and at Berean.
[00:26:24.020 --> 00:26:27.620]   I had failed. And I was terrified.
[00:26:27.620 --> 00:26:35.620]   But in that place of weakness, God showed me His strength and grace.
[00:26:36.420 --> 00:26:42.980]   Second Corinthians 12:9 says, "My grace is sufficient for you, for power is perfected in weakness.
[00:26:42.980 --> 00:26:50.820]   Most gladly, therefore, I will rather boast about my weakness so that the power of Christ may dwell in me."
[00:26:50.820 --> 00:26:57.300]   My sin is great, but God's mercy is greater.
[00:27:01.540 --> 00:27:08.420]   From family, to double ACF, to Berean, God kept bringing me back to Him.
[00:27:08.420 --> 00:27:15.060]   My insecurities cannot prevail against the love shown by these God-fearing people.
[00:27:15.060 --> 00:27:19.300]   For it wasn't just their love, but it was God's love.
[00:27:22.500 --> 00:27:25.220]   Their priority was God rather than themselves.
[00:27:25.220 --> 00:27:32.500]   And I wanted what these people had: security and love.
[00:27:32.500 --> 00:27:40.740]   Even after today, I will sin and betray God countless times.
[00:27:40.740 --> 00:27:48.980]   But despite my inconsistency, I am assured in God's eternal and unchanging character.
[00:27:50.900 --> 00:27:54.500]   I'm thankful for my parents and for the church that has supported me.
[00:27:54.500 --> 00:28:03.460]   And I'm grateful for my cousins for being here today.
[00:28:03.460 --> 00:28:09.780]   This morning, 4 a.m., my grandfather passed away.
[00:28:09.780 --> 00:28:16.660]   So I want to give a special thanks to my cousins, to my father, for being here today.
[00:28:17.860 --> 00:28:19.540]   My grandfather was a faithful man.
[00:28:19.540 --> 00:28:28.260]   And I'm grateful to the Lord for being able to spend the last few weeks with him during his final days.
[00:28:28.260 --> 00:28:38.500]   And as my father mentioned, there are similarities between the passing of this life into God's kingdom
[00:28:39.700 --> 00:28:40.500]   and my baptism today.
[00:28:40.500 --> 00:28:49.940]   Freedom from the flesh and to be filled with God's Spirit and to be in his presence.
[00:28:49.940 --> 00:28:55.700]   As it is said in 1 Samuel 3:18, "He is the Lord.
[00:28:58.420 --> 00:29:00.020]   Let him do what seems good to him."
[00:29:00.020 --> 00:29:09.060]   Even when judgment was cast upon the priest Eli, he still trusted in God's sovereignty.
[00:29:09.060 --> 00:29:13.860]   Whenever I do things by my own will, I fail.
[00:29:13.860 --> 00:29:18.580]   But by relying on God's will, his glory shines.
[00:29:20.500 --> 00:29:24.260]   And it is in Christ's name that I proclaim my faith today.
[00:29:24.260 --> 00:29:25.300]   Thank you.
[00:29:25.300 --> 00:29:42.020]   So, if you understand when you go into the water, you're being united for Christ's death.
[00:29:42.020 --> 00:29:45.780]   When you come out, you're being united to his resurrected life.
[00:29:45.780 --> 00:29:46.980]   I do.
[00:29:46.980 --> 00:29:47.700]   And I baptize you in the name of the Father, the Son, and the Holy Spirit.
[00:29:47.700 --> 00:29:47.700]   Okay.
[00:29:47.700 --> 00:29:48.660]   And I baptize you in the name of the Father, the Son, and the Holy Spirit.
[00:29:48.660 --> 00:30:02.660]   I baptize you in the name of the Father, the Son, and the Holy Spirit.
[00:30:02.660 --> 00:30:22.260]   All right, thank you, Josiah, for your awesome testimony.
[00:30:22.260 --> 00:30:25.060]   If you can turn your Bibles with me to Luke chapter 12.
[00:30:25.060 --> 00:30:28.820]   We're going to be reading from verse 35 to verse 40.
[00:30:29.300 --> 00:30:33.780]   And for those of you who are either coming back or new, visiting to the church,
[00:30:33.780 --> 00:30:38.660]   this is in the context of the whole chapter, actually starting from chapter 11.
[00:30:38.660 --> 00:30:43.860]   And it's in the context of Jesus preparing his disciples for the ministry that's coming.
[00:30:43.860 --> 00:30:47.940]   And so, we're going to be reading verse 35 down to verse 40.
[00:30:47.940 --> 00:30:52.900]   Reading out of the NASB.
[00:30:52.900 --> 00:30:56.660]   Be dressed in readiness and keep your lamps lit.
[00:30:57.540 --> 00:31:01.220]   Be like men who are waiting for their master when he returns from the wedding,
[00:31:01.220 --> 00:31:06.580]   wedding feast, so that they may immediately open the door to him when he comes and knocks.
[00:31:06.580 --> 00:31:11.620]   Blessed are those slaves whom the master will find on the alert when he comes.
[00:31:11.620 --> 00:31:14.900]   Surely I say to you that he will gird himself to serve
[00:31:14.900 --> 00:31:18.100]   and have them recline at the table and will come up and wait on them.
[00:31:18.100 --> 00:31:24.100]   Whether he comes in the second watch or even the third and finds them, so blessed are those slaves.
[00:31:24.100 --> 00:31:29.700]   But be sure of this, that if the head of the house had known at what hour the thief was coming,
[00:31:29.700 --> 00:31:32.260]   he would not have allowed his house to be broken into.
[00:31:32.260 --> 00:31:36.820]   You too be ready, for the Son of Man is coming at an hour that you do not expect.
[00:31:36.820 --> 00:31:37.940]   Let's pray.
[00:31:37.940 --> 00:31:45.460]   Lord, I pray that you would anoint your word, that you would protect this pulpit,
[00:31:45.460 --> 00:31:50.580]   that you would soften the hearts and open the ears, Lord God, that your word would go forth
[00:31:51.220 --> 00:31:54.580]   and will not return until it has accomplished what you have ordained.
[00:31:54.580 --> 00:31:56.260]   In Jesus' name we pray. Amen.
[00:31:56.260 --> 00:32:04.100]   Whenever we study the Bible, you have to understand the context.
[00:32:04.100 --> 00:32:07.140]   Especially if we're preaching through the Bible, we jump into the middle of the text
[00:32:07.140 --> 00:32:10.740]   and we try to glean meaning from it outside of the larger context,
[00:32:10.740 --> 00:32:14.180]   then what's going to end up happening is you're going to take words out of context.
[00:32:14.180 --> 00:32:19.540]   It's just like if I said something and you took a small piece of what I was saying and then said,
[00:32:19.540 --> 00:32:25.860]   "Oh, Pastor Peter said this," and you can get me to sound like anything if that's the way that you listen.
[00:32:25.860 --> 00:32:32.580]   And just like any other normal conversation or normal letter, you have to read it in the larger context.
[00:32:32.580 --> 00:32:38.900]   So the text that we're looking at, Jesus is about four to five months away from going to the cross.
[00:32:39.860 --> 00:32:44.820]   His whole ministry was to prepare the disciples. He said, "Come, follow me, and I will make you fishers of men."
[00:32:44.820 --> 00:32:52.660]   So now as He is turning His attention from the crowd to the disciples, preparing them for Him going to the cross,
[00:32:52.660 --> 00:32:57.460]   He knows that difficult time is going to be coming, not only to Him, but to His disciples.
[00:32:57.460 --> 00:33:05.460]   So He's preparing them. So everything He's saying in this text is in the context of struggle and persecution
[00:33:05.460 --> 00:33:07.780]   and even death that's coming to the disciples.
[00:33:08.340 --> 00:33:13.300]   Now obviously this is relevant to all of us because what He called the disciples to do,
[00:33:13.300 --> 00:33:17.540]   He also called the rest of the church to do. Whatever generation that we live in,
[00:33:17.540 --> 00:33:23.780]   we take the baton of what was given to us in the previous generation, but the mission has never changed.
[00:33:23.780 --> 00:33:30.420]   So if our paradigm of how we listen to the Bible, how we understand everything that we're doing,
[00:33:30.420 --> 00:33:36.900]   outside of the context of His Great Commission, you're going to hear things through a lens that's
[00:33:36.900 --> 00:33:42.980]   not going to make sense or we're not going to be on the same page. Because everything in the Bible is
[00:33:42.980 --> 00:33:50.820]   understood in the context of a holy God pursuing sinners. And the purpose of the church, why do we
[00:33:50.820 --> 00:33:55.620]   study the Bible? Why do we do what we do? Why do we have small groups? Why do we have discipleship?
[00:33:55.620 --> 00:33:58.980]   Everything that we do is in the context of the Great Commission.
[00:34:00.180 --> 00:34:05.460]   So if we're not committed to the Great Commission, church just becomes a place where we grow children,
[00:34:05.460 --> 00:34:11.140]   where we're protected from the world. Friendship just becomes a place where we have common interest.
[00:34:11.140 --> 00:34:17.940]   It just happens to be God. And so we're here with similar interests, similar background. And so I want
[00:34:17.940 --> 00:34:24.740]   to be able to go and do stuff with other Christians. And so when we make that our paradigm, you completely
[00:34:24.740 --> 00:34:30.820]   miss the whole point. So Bible study just becomes gaining knowledge. And some of you guys like to have
[00:34:30.820 --> 00:34:38.020]   knowledge. And so you just gain knowledge, but it's not equipping you for anything. And so after a while,
[00:34:38.020 --> 00:34:44.260]   Bible study just becomes homework. In order to participate in this community, you have to do your homework,
[00:34:44.260 --> 00:34:48.340]   or you're just going to be embarrassed. You don't have anything to share. But it's not equipping you
[00:34:48.340 --> 00:34:53.620]   for anything because you're not committed to the Great Commission. Everything that Jesus is doing
[00:34:53.620 --> 00:35:00.580]   and teaching the disciples is preparing them to go the path that Jesus went. And that's why he said,
[00:35:00.580 --> 00:35:05.860]   "If anyone wishes to come after me, he also needs to deny himself and pick up a cross and follow me."
[00:35:05.860 --> 00:35:11.460]   And so if you remember the previous passages, Jesus said to his disciples, "Do not fear these men
[00:35:12.580 --> 00:35:18.900]   when they drag you into court." Whether it's the synagogue leaders where that persecution is first
[00:35:18.900 --> 00:35:24.820]   going to start, whether it's the local authorities or the rulers, don't be afraid of them. In other
[00:35:24.820 --> 00:35:30.020]   words, all they can do is kill your body. I mean, think about that. All they can do. He doesn't say,
[00:35:30.020 --> 00:35:35.220]   "You're going to be protected." He doesn't say that all your needs and concern for your children,
[00:35:35.220 --> 00:35:40.100]   that don't worry about any of that. He said, "Don't fear them because all they can do is kill your body."
[00:35:41.140 --> 00:35:45.540]   And that's exactly what's going to happen to all every single one of them. They are going to die
[00:35:45.540 --> 00:35:51.700]   for their faith. He said, "If you're going to fear anything, fear him who can kill the body and
[00:35:51.700 --> 00:35:58.260]   is able to put you in eternal judgment." But that same God that you ought to fear that's going to conquer
[00:35:58.260 --> 00:36:03.460]   any other fear, that God loves you and cares for you. So put your trust in him, put your life in him.
[00:36:04.500 --> 00:36:10.180]   And then we talked about how last week, after saying that, right, sometimes it's easy for us
[00:36:10.180 --> 00:36:14.820]   to commit to the big picture. I want to be a witness for Jesus Christ. I'm going to fight for righteousness.
[00:36:14.820 --> 00:36:20.740]   And then we turn around. What squashes our passion and conviction is a concern for our daily needs.
[00:36:20.740 --> 00:36:29.540]   FOMO, right? FOMO is killing the church because we're so concerned about having what the world has,
[00:36:30.420 --> 00:36:36.580]   what we will eat, what we will wear. And after a while, it's not the great sins. It's not drug addicts.
[00:36:36.580 --> 00:36:42.340]   It's not sex trafficking. Although all of these things are evil things that we need to fight.
[00:36:43.700 --> 00:36:50.020]   But the primary way that spiritual passion gets drained is that we get distracted and concerned
[00:36:50.020 --> 00:36:55.380]   more for our daily needs than for the great commission that he called us to.
[00:36:55.380 --> 00:37:02.100]   So he warns his disciples, again, in the context to be careful that you do not get dragged into it. In
[00:37:02.100 --> 00:37:10.980]   fact, the language in the New Testament is often used, described as warfare. So if we don't recognize that
[00:37:10.980 --> 00:37:17.700]   we are in the context of warfare and Jesus called us to spiritual warfare, we're going to evaluate
[00:37:17.700 --> 00:37:24.100]   everything in the context of how does it make me feel. I go to church where I feel safe. I'm encouraged.
[00:37:24.100 --> 00:37:30.100]   I'm enlightened. And that's how we evaluate what is good or what is bad. Apostle Paul evaluated
[00:37:30.100 --> 00:37:38.100]   everything based on, does this cause the gospel to spread more effectively? Does your suffering,
[00:37:38.100 --> 00:37:44.660]   does God's blessing, does it cause the gospel to spread more rapidly? So he saw everything in that
[00:37:44.660 --> 00:37:49.780]   light. Not, God bless me so I have good children, I have good health, and we can live a long life,
[00:37:49.780 --> 00:37:57.300]   I had a good job, and so I am blessed. That's not how Paul or any of the apostles evaluated anything.
[00:37:58.500 --> 00:38:01.620]   That's why he says all things are lawful, but not all things are profitable.
[00:38:01.620 --> 00:38:06.820]   It may not be nailed down in scripture and saying this is not, this is sinful, not sinful,
[00:38:06.820 --> 00:38:12.900]   but he says he doesn't evaluate what is good or bad based on that. He said what is good and bad
[00:38:12.900 --> 00:38:18.580]   is based upon, is it profitable? Profitable for what? In the cause of the great commission.
[00:38:18.580 --> 00:38:24.500]   In everything that he does, whether he gets married or don't get married, whether he has children or not
[00:38:24.500 --> 00:38:29.940]   get children, not have children, whether he lives here or lives there, whether he eats or drinks,
[00:38:29.940 --> 00:38:34.100]   how does this affect God's glory? How does this affect the great commission?
[00:38:34.100 --> 00:38:42.100]   Second Timothy 2:3-4 says, "Suffer hardship with me." Suffer hardship with me. Can you imagine
[00:38:42.100 --> 00:38:49.300]   trying to recruit somebody to your work to join with me, and the primary invitation is, "Come,
[00:38:49.300 --> 00:38:57.700]   who's going to suffer with me?" Who wants to come to that? Come with me for glory, come with me to do
[00:38:57.700 --> 00:39:05.620]   great work, come with me to glorify God. But Paul tells Timothy, "Come, suffer with me as a soldier of
[00:39:05.620 --> 00:39:13.700]   Christ Jesus." No soldier in active service entangles himself with affairs of everyday life." Who isn't
[00:39:13.700 --> 00:39:19.140]   entangled with everyday life? Who isn't paying bills? Who isn't concerned about our job? Who isn't concerned
